AutoID,SourceDataID,MarketCode,IndexCode,TradeDate,BasicIndex,RefIndex,CurrentIndex,ChangeIndex,ChangePercent,OpenIndex,HighestIndex,LowestIndex,CloseIndex,TypeIndex,TotalStock,TotalVolumeNT,TotalValueNT,TotalVolumePT,TotalValuePT,TotalVolume,TotalValue,TotalVolumOdd,TotalValueOdd,StockUp,StockDown,StockNoChange,StockFloor,StockCeiling,TotalTrade,TotalBuyTrade,TotalBuyVolume,TotalSellTrade,TotalSellVolume,ForeignBuyValueNT,ForeignBuyVolumeNT,ForeignSellValueNT,ForeignSellVolumeNT,ForeignBuyValuePT,ForeignBuyVolumePT,ForeignSellValuePT,ForeignSellVolumePT,ForeignBuyValue,ForeignBuyVolume,ForeignSellValue,ForeignSellVolume,ForeignTotalRoom,ForeignCurrentRoom,CreateDate,UpdateDate,StatusID,ShareIssue,LastSyncData
14837,598588,HNX,HNXIndex,1/2/2024,231.04,NULL,229.99,-1.05,-0.004552,230.69,232.4,229.7,229.99,0,243,59650589,1.15874E+12,2029860,79775826000,61680449,1.23851E+12,21889,441265400,77,157,86,0,0,89130,48189,96500400,40941,128724700,10896713400,316903,40149575400,1536554,0,0,0,0,10896713400,316903,40149575400,1536554,6442307828,5629056748,10:29.3,36:01.9,1,15761545685,04:47.6
14838,598589,HNX,HNX30,1/2/2024,494.88,NULL,489.89,-4.99,-0.010078,493.47,499.79,489.31,489.89,4,0,44492495,1.00851E+12,814000,21507600000,45306495,1.03001E+12,14295,344566400,8,15,7,0,0,59383,33177,63997300,26206,84532100,8580780000,221000,39484058900,1487919,0,0,0,0,8580780000,221000,39484058900,1487919,2363049426,1987784046,10:29.3,36:01.9,1,4997354963,04:47.6
14839,598590,HNX,HNXIndex,1/3/2024,229.99,NULL,231.64,1.65,0.007167,230.12,231.64,228.81,231.64,0,241,58217233,1.06052E+12,3432000,77225390000,61649233,1.13775E+12,23833,485581400,117,135,68,0,0,88778,48147,110577400,40631,116179000,28294838000,667170,35744271000,1087590,0,0,374000000,11000,28294838000,667170,36118271000,1098590,6552293794,5737372818,10:35.0,26:11.3,1,15986006846,04:47.6
14840,598591,HNX,HNX30,1/3/2024,489.89,NULL,495.41,5.52,0.011262,489.89,495.41,483.32,495.41,4,0,39622637,8.94752E+11,1584900,51242120000,41207537,9.45994E+11,16437,398871200,21,4,5,0,0,56789,31632,65747800,25157,69227500,26490586000,530360,34716145000,987270,0,0,0,0,26490586000,530360,34716145000,987270,2363049426,1989082386,10:35.0,26:11.3,1,4997354963,04:47.6
14841,598592,HNX,HNXIndex,1/4/2024,231.64,NULL,232.56,0.92,0.003972,231.63,233.66,231.63,232.56,0,239,112056059,2.16081E+12,685600,24515840000,112741659,2.18532E+12,44459,926978300,68,166,86,0,0,128366,57785,154578300,70581,202557100,29968449600,830087,28436743400,1105009,0,0,0,0,29968449600,830087,28436743400,1105009,6552293794,5738078574,10:30.9,46:13.2,1,15986006846,04:47.6
14842,598593,HNX,HNX30,1/4/2024,495.41,NULL,495.99,0.58,0.001177,495.59,502.73,495.39,495.99,4,0,87161527,1.9209E+12,95000,4655000000,87256527,1.92556E+12,35627,817072800,12,7,11,0,0,89856,38879,106889600,50977,143828300,28768759600,761887,26657224800,913200,0,0,0,0,28768759600,761887,26657224800,913200,2363049426,1989808342,10:30.9,46:13.2,1,4997354963,04:47.6
14843,598594,HNX,HNXIndex,1/5/2024,232.56,NULL,232.76,0.2,0.000867,232.56,233.35,231.69,232.76,0,246,59819200,1.1012E+12,1161100,39625360000,60980300,1.14082E+12,29900,659314300,70,159,91,0,0,98098,48448,112552200,49650,138490100,16360666800,853063,4867587700,198617,0,0,0,0,16360666800,853063,4867587700,198617,6552293794,5738280601,10:34.5,35:53.0,1,15986006846,04:47.6
14844,598595,HNX,HNX30,1/5/2024,495.99,NULL,497.39,1.4,0.002817,496.93,499.34,494.79,497.39,4,0,40758049,9.21235E+11,340000,13721000000,41098049,9.34956E+11,20949,528574400,15,5,10,0,0,63538,31138,68867200,32400,86826900,14330976800,513363,3241233700,114867,0,0,0,0,14330976800,513363,3241233700,114867,2363049426,1990282249,10:34.5,35:53.0,1,4997354963,04:47.6
14845,598596,HNX,HNXIndex,1/8/2024,232.76,NULL,233.33,0.57,0.002442,232.76,234.88,232.38,233.33,0,247,83126965,1.65693E+12,2391459,57789462000,85518424,1.71472E+12,37565,802555500,95,149,76,0,0,113315,53163,132949600,60152,165025600,23325136000,1163454,26513850000,1366480,0,0,0,0,23325136000,1163454,26513850000,1366480,6552293794,5738194556,10:27.5,03:54.9,1,15986006846,04:47.6
14846,598597,HNX,HNX30,1/8/2024,497.39,NULL,500.43,3.04,0.006115,495.93,504.51,495.93,500.43,4,0,64442407,1.45977E+12,1288000,29197200000,65730407,1.48897E+12,28307,670193800,17,8,5,0,0,80311,37312,90723100,42999,114242400,22930346000,1132054,24907040000,1285980,0,0,0,0,22930346000,1132054,24907040000,1285980,2363049426,1990063395,10:27.5,03:54.9,1,4997354963,04:47.6
14847,598598,HNX,HNX30,1/9/2024,500.43,NULL,497.91,-2.52,-0.00504,500.12,502.67,496.11,497.91,4,0,58725589,1.45261E+12,390000,5649000000,59115589,1.45826E+12,22089,578182400,5,19,6,0,0,77554,41835,83632400,35719,105214400,65390334000,1548205,83384083200,3031184,0,0,0,0,65390334000,1548205,83384083200,3031184,2348624269,1974329659,10:26.6,11:35.0,1,4997354963,04:47.6
14848,598599,HNX,HNXIndex,1/9/2024,233.33,NULL,232.5,-0.83,-0.00355,233.33,233.95,232.02,232.5,0,237,78725769,1.66576E+12,1421933,30564320500,80147702,1.69633E+12,30869,704839600,68,177,75,0,0,111359,58850,123749900,52509,158505900,65934513000,1576556,84797303600,3103812,0,0,0,0,65934513000,1576556,84797303600,3103812,6521945546,5706941828,10:26.6,11:35.0,1,15986006846,04:47.6
14849,598600,HNX,HNXIndex,1/10/2024,232.5,NULL,231.41,-1.09,-0.004687,232.39,233.44,230.91,231.41,0,229,89271360,1.80226E+12,13413040,3.11844E+11,102684400,2.11411E+12,27460,573956600,54,194,72,0,0,114486,65292,130952400,49194,162736600,26091902500,715585,89560604500,3277935,0,0,0,0,26091902500,715585,89560604500,3277935,6521945546,5707577023,10:34.4,09:26.5,1,15986006846,04:47.6
